lag,acf
319,0.20284256104921108
320,0.2194798326180732
321,0.2410488908332148
322,0.2682518834765286
323,0.301324464704533
324,0.3400651887851548
325,0.38401059583245434
326,0.4327039285646022
327,0.48556221396650817
328,0.5419404042541952
329,0.6008264033596914
330,0.6608539363773224
331,0.7200237609674587
332,0.7758522898227366
333,0.8251047675129307
334,0.8643006355749853
335,0.889591861964108
336,0.8980301520431734
